Pathways	Common-Name	Genes of pathway	Accession-1
PWY-7286	7-(3-amino-3-carboxypropyl)-wyosine biosynthesis	G3O-30560 // G3O-32610 // G3O-34098 // G3O-31120	YGL050W // YML005W // YPL207W // YHR070W
PWY-6502	8-oxo-(d)GTP detoxification I	YLR151C	YLR151C
PWY-7340	9-<i>cis</i>, 11-<i>trans</i>-octadecadienoyl-CoA degradation (isomerase-dependent)	YGL205W // YKR009C // YIL160C // YLR284C // YOR180C	YGL205W // YKR009C // YIL160C // YLR284C // YOR180C
PWY-7800	Ac/N-end rule pathway	YDL040C // YHR013C // G3O-33744 // YLR244C // YBL091C // G3O-34267 // G3O-33480 // YGR147C // YPR051W // G3O-30171 // G3O-29336	YDL040C // YHR013C // YOR253W // YLR244C // YBL091C // YPR131C // YOL076W // YGR147C // YPR051W // YEL053C // YCR020C-A
PWY0-1313	acetate conversion to acetyl-CoA	YAL054C // YLR153C	YAL054C // YLR153C
PWY3O-440	acetoin biosynthesis III	YGR087C // YLR134W // YLR044C	YGR087C // YLR134W // YLR044C
PWY-6012-1	acyl carrier protein activation	G3O-34045	YPL148C
PWY-5148	acyl-CoA hydrolysis	YJR019C // YOR377W	YJR019C // YOR377W
PWY-6610	adenine and adenosine salvage IV	YJR133W // YDR399W // YNL141W // YDR441C // YML022W	YJR133W // YDR399W // YNL141W // YDR441C // YML022W
PWY-6619	adenine and adenosine salvage VI	YJR105W	YJR105W
PWY-7227	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis	YER070W // YJL026W // YGR180C // YKL067W // G3O-7 // G3O-19 // G3O-35	YER070W // YJL026W // YGR180C // YKL067W // YLR043C // YGR209C // YCR083W
PWY-7219	adenosine ribonucleotides <i>de novo</i> biosynthesis	YNL220W // YLR359W // YDR226W // YKL024C	YNL220W // YLR359W // YDR226W // YKL024C
PWY-3781-1	aerobic respiration I (cytochrome c)	G3O-31243 // YGR183C // YJL166W // YDR529C // YFR033C // YPR191W // YBL045C // G3O-102 // YEL024W // Q0105 // YKL148C // YLL041C // YJL045W // YDR178W // YKL141W // YIL111W // G3O-30127 // Q0045 // Q0250 // Q0275 // YGL187C // YNL052W // YHR051W // YMR256C // YLR395C // YDL067C // YLR038C // YGL191W // YML120C	YHR001W-A // YGR183C // YJL166W // YDR529C // YFR033C // YPR191W // YBL045C // YOR065W // YEL024W // Q0105 // YKL148C // YLL041C // YJL045W // YDR178W // YKL141W // YIL111W // YDR119W-A // Q0045 // Q0250 // Q0275 // YGL187C // YNL052W // YHR051W // YMR256C // YLR395C // YDL067C // YLR038C // YGL191W // YML120C
ALANINE-DEG3-PWY	alanine degradation III	YLR089C // YDR111C	YLR089C // YDR111C
PWY-723	alkylnitronates degradation	G3O-31762	YJR149W
PWY-6859	<i>all-trans</i>-farnesol biosynthesis	YPL117C // YJL167W // YDR481C	YPL117C // YJL167W // YDR481C
PWY-5694	allantoin degradation to glyoxylate I	YIR032C // YIR027C // YIR029W	YIR032C // YIR027C // YIR029W
PWY-5697	allantoin degradation to ureidoglycolate I (urea producing)	YIR027C // YIR029W	YIR027C // YIR029W
PWY-6963	ammonia assimilation cycle I	YDL171C // YPR035W	YDL171C // YPR035W
ARGSYNBSUB-PWY	arginine biosynthesis	YOL058W // YHR018C // YJL088W // YOL140W // YER069W // YJR109C // YOR303W // YMR062C // YJL071W	YOL058W // YHR018C // YJL088W // YOL140W // YER069W // YJR109C // YOR303W // YMR062C // YJL071W
ARG-PRO-PWY	arginine degradation VI (arginase 2 pathway)	YER023W // YPL111W // YLR438W	YER023W // YPL111W // YLR438W
PWY-4621-1	arsenate detoxification	G3O-34320 // G3O-34321 // YCL035C // G3O-29701 // YDR513W	YPR200C // YPR201W // YCL035C // YDR098C // YDR513W
PWY-4621	arsenic detoxification (yeast)	G3O-29733 // G3O-34321 // G3O-32144 // G3O-31140 // G3O-29349 // G3O-34320 // YCL035C // G3O-29701 // YDR513W // G3O-35 // G3O-7 // G3O-19	YDR135C // YPR201W // YLL043W // YHR094C // YCR037C // YPR200C // YCL035C // YDR098C // YDR513W // YCR083W // YLR043C // YGR209C
ASPARAGINE-DEG1-PWY	asparagine degradation	YDR321W // YLR155C // YLR157C // YLR158C // YLR160C	YDR321W // YLR155C // YLR157C // YLR158C // YLR160C
ASPBIO-PWY	aspartate biosynthesis	YBR218C // YGL062W // YKL106W // YLR027C	YBR218C // YGL062W // YKL106W // YLR027C
SO4ASSIM-PWY	assimilatory sulfate reduction I	YJR137C // YFR030W // YPR167C // YJR010W // YKL001C // G3O-7 // G3O-19 // G3O-35	YJR137C // YFR030W // YPR167C // YJR010W // YKL001C // YLR043C // YGR209C // YCR083W
PWY-6899	base-degraded thiamin salvage	G3O-33466	YOL055C
PWY-5760	&beta;-alanine biosynthesis	YMR169C // YMR170C // YMR020W	YMR169C // YMR170C // YMR020W
PWY0-1507	biotin biosynthesis from 8-amino-7-oxononanoate I	YNR057C // YNR058W // YGR286C	YNR057C // YNR058W // YGR286C
PWY0-1264	biotin-carboxyl carrier protein assembly	YDL141W // YMR207C // YNR016C	YDL141W // YMR207C // YNR016C
PWY-5269	cardiolipin biosynthesis	YCL004W // G3O-31145 // YDL142C	YCL004W // YHR100C // YDL142C
PWY3O-4	carnitine shuttle	YAR035W // YER024W // YML042W	YAR035W // YER024W // YML042W
PWY-5667	CDP-diacylglycerol biosynthesis I	YBR029C // G3O-30764 // YDL052C // G3O-32249 // G3O-34274 // G3O-4104 // YKR067W // YIL155C	YBR029C // YGR046W // YDL052C // YLR099C // YPR139C // YBL011W // YKR067W // YIL155C
PWY-6981	chitin biosynthesis	YBR001C // YDR001C // YKL104C // G3O-32784 // YFL017C // YEL058W // YDL103C // YFR053C // YGL253W // YCL040W // YBR023C // YNL192W // G3O-31554 // G3O-33784 // G3O-32003 // YLR330W // G3O-32918 // YBR038W // YBR196C // YMR105C // YKL127W	YBR001C // YDR001C // YKL104C // YMR084W // YFL017C // YEL058W // YDL103C // YFR053C // YGL253W // YCL040W // YBR023C // YNL192W // YJL099W // YOR299W // YKR027W // YLR330W // YMR237W // YBR038W // YBR196C // YMR105C // YKL127W
PWY-7118	chitin deacetylation	YLR308W // YLR307W // YNL117W // YKL029C // YAL054C // YLR153C	YLR308W // YLR307W // YNL117W // YKL029C // YAL054C // YLR153C
PWY3O-70	chitosan biosynthesis	YLR308W // YLR307W	YLR308W // YLR307W
PWY-3561	choline biosynthesis III	YGR202C // YKR031C // YHR123W // YNL130C	YGR202C // YKR031C // YHR123W // YNL130C
ARO-PWY	chorismate biosynthesis	YBR249C // YDR035W // YGL148W // YDR127W	YBR249C // YDR035W // YGL148W // YDR127W
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	YGL148W // YDR127W	YGL148W // YDR127W
PWY-7205	CMP phosphorylation	YKL024C // YKL067W	YKL024C // YKL067W
PWY-7851	coenzyme A biosynthesis II (eukaryotic)	YGR277C // YDR196C // YKR072C // YOR054C // YKL088W // YIL083C	YGR277C // YDR196C // YKR072C // YOR054C // YKL088W // YIL083C
PWY-8145	cytochrome <i>c</i> biogenesis	YAL039C // YKL087C	YAL039C // YKL087C
PWY-6317	D-galactose degradation V (Leloir pathway)	YBR020W // YBR018C // YBR019C // YMR105C // YKL127W	YBR020W // YBR018C // YBR019C // YMR105C // YKL127W
GLUCONSUPER-PWY	D-gluconate degradation	G3O-29821	YDR248C
MANNCAT-PWY	D-mannose degradation	YER003C	YER003C
PWY-6364	D-<i>myo</i>-inositol (1,3,4)-trisphosphate biosynthesis	G3O-24 // G3O-65 // YOL065C // YOR109W	YDR173C // YNL106C // YOL065C // YOR109W
PWY-6351	D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis	YNL267W // G3O-343 // G3O-356 // YPR113W // YDR208W // YPL268W	YNL267W // YJL100W // YLR305C // YPR113W // YDR208W // YPL268W
PWY0-1535	D-serine degradation	G3O-30677	YGL196W
PWY-5516	D-xylose degradation II	YMR318C // YHR104W // G3O-29918	YMR318C // YHR104W // YDR368W
PWY3O-6	dehydro-D-arabinono-1,4-lactone biosynthesis	YML086C // G3O-31	YML086C // YMR041C
PWY-7546	diphthamide biosynthesis	G-15503 // G-11954 // G-11955 // G-11956 // G-34532 // G-11958	YLR143W // YIL103W // YKL191W // YBL071W-A // YBR246W // YLR172C
PWY-6129	dolichol and dolichyl phosphate biosynthesis	YBR002C // YMR101C // G3O-29578 // G3O-31320 // YMR013C	YBR002C // YMR101C // YDL193W // YIL049W // YMR013C
PWY3O-1565	dolichyl glucosyl phosphate biosynthesis	YHL012W // YKL035W // YPL227C // YMR105C // YKL127W	YHL012W // YKL035W // YPL227C // YMR105C // YKL127W
PWY3O-123	dolichyl phosphate D-mannose biosynthesis	YER003C // YFL045C // G3O-29793 // YPR183W	YER003C // YFL045C // YDR211W // YPR183W
PWY66-385	dTMP <i>de novo</i> biosynthesis (mitochondrial)	YOR236W // YBR263W // YLR058C // YOR074C	YOR236W // YBR263W // YLR058C // YOR074C
PWY-5670	epoxysqualene biosynthesis	YGR175C // YHR190W	YGR175C // YHR190W
PWY-6075	ergosterol biosynthesis I	YML008C // YMR202W // YLR056W // YMR015C // YGL012W	YML008C // YMR202W // YLR056W // YMR015C // YGL012W
PWY66-21	ethanol degradation II	YMR303C // YGL256W // G-10421 // G-10422 // YAL054C // YLR153C	YMR303C // YGL256W // YER073W // YOR374W // YAL054C // YLR153C
PWY0-1280	ethylene glycol degradation	YMR170C // YMR169C // G-10421 // G-10422 // G3O-32155	YMR170C // YMR169C // YER073W // YOR374W // YLL056C
PWY-5143	fatty acid activation	YMR246W // YOR317W // YIL009W	YMR246W // YOR317W // YIL009W
PWY-7288	fatty acid &beta;-oxidation (peroxisome)	YER015W // YIL009W // YMR246W // YOR317W // YKR009C // YIL160C // YGL205W	YER015W // YIL009W // YMR246W // YOR317W // YKR009C // YIL160C // YGL205W
PWY-5137	fatty acid &beta;-oxidation III (unsaturated, odd number)	YLR284C // YOR180C	YLR284C // YOR180C
PWY-6837	fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)	YGL205W // YLR284C // YOR180C // YNL202W	YGL205W // YLR284C // YOR180C // YNL202W
PWY-5966-1	fatty acid biosynthesis initiation (animals and fungi, cytoplasm)	YMR207C // YNR016C // YKL182W // YPL231W	YMR207C // YNR016C // YKL182W // YPL231W
PWY66-429	fatty acid biosynthesis initiation (mitochondria)	YER061C // YMR207C // YNR016C // YOR221C	YER061C // YMR207C // YNR016C // YOR221C
YEAST-FAO-PWY	fatty acid oxidation (non-cyclic)	YIL160C // YER015W // YIL009W // YMR246W // YOR317W // YLR284C // YOR180C // YGL205W // YKR009C	YIL160C // YER015W // YIL009W // YMR246W // YOR317W // YLR284C // YOR180C // YGL205W // YKR009C
PWY-6168	flavin biosynthesis III (fungi)	YDR236C // YDL045C // YBR256C // YOL143C // YDR487C // YBL033C // YBR153W // YOL066C	YDR236C // YDL045C // YBR256C // YOL143C // YDR487C // YBL033C // YBR153W // YOL066C
PWY3O-697	folate interconversions	YBR263W // YLR058C // YOR236W // YGR204W // YBR084W // YKR080W // YPL023C // YGL125W // YFL018C // YMR189W // YDR019C // G3O-163 // YOR074C	YBR263W // YLR058C // YOR236W // YGR204W // YBR084W // YKR080W // YPL023C // YGL125W // YFL018C // YMR189W // YDR019C // YAL044C // YOR074C
PWY-2161	folate polyglutamylation	YGR204W // YBR084W // YBR263W // YLR058C // YOR241W // YKL132C	YGR204W // YBR084W // YBR263W // YLR058C // YOR241W // YKL132C
PWY-2201-1	folate transformations I	YKR080W // YER183C // YPL023C // YGL125W // YFL018C // YMR189W // YDR019C // G3O-163 // YBR084W // YGR204W // YBR263W // YLR058C	YKR080W // YER183C // YPL023C // YGL125W // YFL018C // YMR189W // YDR019C // YAL044C // YBR084W // YGR204W // YBR263W // YLR058C
PWY-1801-YEAST	formaldehyde oxidation II (glutathione-dependent)	YJL068C // YDL168W // YOR388C	YJL068C // YDL168W // YOR388C
PWY-1801	formaldehyde oxidation II (glutathione-dependent)	YJL068C // YDL168W	YJL068C // YDL168W
PWY-1722	formate assimilation into 5,10-methylenetetrahydrofolate	YBR084W // YGR204W	YBR084W // YGR204W
PWY-1881	formate oxidation to CO<sub>2</sub>	YOR388C	YOR388C
PWY66-423	fructose 2,6-bisphosphate biosynthesis	YJL155C // YIL107C // YOL136C // G3O-32421	YJL155C // YIL107C // YOL136C // YLR345W
PWY3O-0	fructose degradation	YFR053C // YGL253W	YFR053C // YGL253W
PWY-4041	&gamma;-glutamyl cycle	YJL101C // YOL049W // G3O-2 // YLR299W // G3O-31973	YJL101C // YOL049W // YFR044C // YLR299W // YKL215C
PWY-5659	GDP-mannose biosynthesis	YER003C // YFL045C // YDL055C // YBR196C	YER003C // YFL045C // YDL055C // YBR196C
PWY-5122	geranyl diphosphate biosynthesis	YJL167W	YJL167W
PWY-5120	geranylgeranyl diphosphate biosynthesis	YPL069C	YPL069C
GLUCONEO-YEAST-PWY	gluconeogenesis	YLR377C // YKL060C // YGR192C // YJR009C // YJL052W // YCR012W // YGR254W // YHR174W // YOR393W // YPL281C // YMR323W // YKR097W // YOL126C // YBR218C // YGL062W // YKL029C // YBR196C	YLR377C // YKL060C // YGR192C // YJR009C // YJL052W // YCR012W // YGR254W // YHR174W // YOR393W // YPL281C // YMR323W // YKR097W // YOL126C // YBR218C // YGL062W // YKL029C // YBR196C
PWY3O-3827	glucose-6-phosphate biosynthesis	YFR053C // YGL253W // YCL040W	YFR053C // YGL253W // YCL040W
GLUTAMATE-DEG1-PWY	glutamate degradation to 2-oxoglutarate	YDL215C	YDL215C
GLUTAMINDEG-PWY	glutamine degradation I	YMR217W // G3O-32796 // G3O-32795 // G3O-33317 // G3O-33316 // G3O-30407 // G3O-30408 // YBL039C // YJR103W // YBR248C // YDL171C // G3O-30812 // G3O-32963 // G3O-28971 // YKL211C // YER090W // YGR124W // YPR145W // YJL130C // YJR109C // YOR303W // YNR033W	YMR217W // YMR096W // YMR095C // YNL334C // YNL333W // YFL060C // YFL059W // YBL039C // YJR103W // YBR248C // YDL171C // YGR102C // YMR293C // YBL080C // YKL211C // YER090W // YGR124W // YPR145W // YJL130C // YJR109C // YOR303W // YNR033W
PWY-5921	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation	YMR217W // G3O-32796 // G3O-32795 // G3O-33317 // G3O-33316 // G3O-30407 // G3O-30408 // YBL039C // YJR103W // YBR248C // YDL171C // YKL211C // YER090W // YGR124W // YPR145W // YJL130C // YJR109C // YOR303W // YNR033W // G3O-30812 // G3O-32963 // G3O-28971 // G3O-32999	YMR217W // YMR096W // YMR095C // YNL334C // YNL333W // YFL060C // YFL059W // YBL039C // YJR103W // YBR248C // YDL171C // YKL211C // YER090W // YGR124W // YPR145W // YJL130C // YJR109C // YOR303W // YNR033W // YGR102C // YMR293C // YBL080C // YNCM0036C
GLUTATHIONESYN-PWY	glutathione biosynthesis	YJL101C // YOL049W	YJL101C // YOL049W
PWYQT-4432	glutathione degradation	G3O-2 // YLR299W	YFR044C // YLR299W
PWY-7559	glutathione degradation (DUG pathway)	G3O-29201 // G3O-33202 // YLR299W // G3O-2	YBR281C // YNL191W // YLR299W // YFR044C
PWY-4081	glutathione redox reactions I	YNL229C // YIR038C // YBR244W // YKL026C // YPL091W // G3O-32435 // G3O-28999 // G3O-29441	YNL229C // YIR038C // YBR244W // YKL026C // YPL091W // YLR364W // YBR014C // YDL010W
GLUT-REDOX-PWY	glutathione-glutaredoxin redox reactions	G3O-1606 // G3O-1601 // YCL035C // G3O-29701 // YDR513W	YPL059W // YER174C // YCL035C // YDR098C // YDR513W
PWY3O-592	glutathione-glutaredoxin system	YPL091W // G3O-32435 // G3O-28999 // G3O-29441 // YDR513W // G3O-29701 // G3O-1606 // YCL035C // G3O-1601	YPL091W // YLR364W // YBR014C // YDL010W // YDR513W // YDR098C // YPL059W // YCL035C // YER174C
PWY-4061	glutathione-mediated detoxification I	YIR038C // YLL060C // G3O-30142 // G3O-30856 // YLR299W // YGL184C // YFR055W // G3O-31154 // G3O-32120 // G3O-32147 // G3O-29733	YIR038C // YLL060C // YEL017W // YGR154C // YLR299W // YGL184C // YFR055W // YHR112C // YLL015W // YLL048C // YDR135C
PWY-6842-1	glutathione-mediated detoxification II	YIR038C // YLL060C // G3O-30142 // G3O-30856 // G3O-29093 // YMR297W // YLR299W // YFR055W // G3O-31154 // YGL184C // G3O-32120 // G3O-32147 // G3O-29733	YIR038C // YLL060C // YEL017W // YGR154C // YBR139W // YMR297W // YLR299W // YFR055W // YHR112C // YGL184C // YLL015W // YLL048C // YDR135C
PWY3O-48	glycerol biosynthesis	YIL155C // YOL059W // YDL022W // YER062C // YIL053W	YIL155C // YOL059W // YDL022W // YER062C // YIL053W
PWY-4261-YEAST	glycerol degradation I	YHL032C // YIL155C	YHL032C // YIL155C
PWY-6118-YEAST	glycerol-3-phosphate shuttle	YOL059W // YDL022W // YIL155C	YOL059W // YDL022W // YIL155C
PWY-6952-1	glycerophosphodiester degradation	G3O-34097 // G3O-34012 // YIL155C	YPL206C // YPL110C // YIL155C
GLYSYN-ALA-PWY	glycine biosynthesis from glyoxylate	YFL030W	YFL030W
GLYSYN-THR-PWY	glycine biosynthesis from threonine	YEL046C	YEL046C
GLYSYN-PWY	glycine biosynthesis I	YBR263W // YLR058C	YBR263W // YLR058C
GLYCINE-SYN2-PWY	glycine biosynthesis II	YFL018C // YMR189W // YDR019C // G3O-163	YFL018C // YMR189W // YDR019C // YAL044C
GLYCLEAV-PWY	glycine cleavage	YFL018C // YMR189W // YDR019C // G3O-163	YFL018C // YMR189W // YDR019C // YAL044C
PWY-5067	glycogen biosynthesis	YKR058W // YJL137C // YFR015C // YLR258W // YEL011W	YKR058W // YJL137C // YFR015C // YLR258W // YEL011W
PWY-5941	glycogen degradation II	YPR160W // YIL099W // YMR105C // YKL127W // YPR184W // YFR053C // YGL253W // YCL040W	YPR160W // YIL099W // YMR105C // YKL127W // YPR184W // YFR053C // YGL253W // YCL040W
GLYCOLYSIS-YEAST-PWY	glycolysis	YAL038W // YOR347C // YGR254W // YHR174W // YOR393W // YPL281C // YMR323W // YCR012W // YGR192C // YJR009C // YJL052W // YDR050C // YKL060C // YMR205C // YGR240C // YBR196C	YAL038W // YOR347C // YGR254W // YHR174W // YOR393W // YPL281C // YMR323W // YCR012W // YGR192C // YJR009C // YJL052W // YDR050C // YKL060C // YMR205C // YGR240C // YBR196C
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	YMR205C // YGR240C // YKL060C // YDR050C // YGR192C // YJR009C // YJL052W // YCR012W // YGR254W // YHR174W // YOR393W // YPL281C // YMR323W // YAL038W // YOR347C // YKL152C // YBR196C // YFR053C // YGL253W // YCL040W	YMR205C // YGR240C // YKL060C // YDR050C // YGR192C // YJR009C // YJL052W // YCR012W // YGR254W // YHR174W // YOR393W // YPL281C // YMR323W // YAL038W // YOR347C // YKL152C // YBR196C // YFR053C // YGL253W // YCL040W
GLYOXYLATE-BYPASS	glyoxylate cycle	YKL029C // YOL126C // YDL078C // YIR031C // YNL117W // YER065C // YCR005C // YJL200C // YLR304C	YKL029C // YOL126C // YDL078C // YIR031C // YNL117W // YER065C // YCR005C // YJL200C // YLR304C
PWY-6620	guanine and guanosine salvage	YJR133W // YDR399W // YLR209C	YJR133W // YDR399W // YLR209C
PWY-7226	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I	YER070W // YJL026W // YGR180C // YKL067W // G3O-7 // G3O-19 // G3O-35	YER070W // YJL026W // YGR180C // YKL067W // YLR043C // YGR209C // YCR083W
PWY-7221	guanosine ribonucleotides <i>de novo</i> biosynthesis	YHR216W // YLR432W // YML056C // YMR217W // YDR454C // YKL067W	YHR216W // YLR432W // YML056C // YMR217W // YDR454C // YKL067W
PWY-7856	heme <i>a</i> biosynthesis	G3O-34067 // G3O-30302	YPL172C // YER141W
HEME-BIOSYNTHESIS-II	heme <i>b</i> biosynthesis I (aerobic)	YDR047W // YER014W // YOR176W // YDR044W	YDR047W // YER014W // YOR176W // YDR044W
HEXPPSYN-PWY	hexaprenyl diphosphate biosynthesis	YBR003W	YBR003W
PWY-801	homocysteine and cysteine interconversion	YGR155W // YML082W // YJR130C // G3O-32157 // YAL012W // YFR055W // G3O-31154 // YGL184C	YGR155W // YML082W // YJR130C // YLL058W // YAL012W // YFR055W // YHR112C // YGL184C
PWY-7910	homofuraneol biosynthesis	G3O-33154	YNL134C
PWY-6910	hydroxymethylpyrimidine salvage	G3O-33466 // G3O-34143 // G3O-34260	YOL055C // YPL258C // YPR121W
PWY-5905	hypusine biosynthesis	G3O-31703 // YHR068W	YJR070C // YHR068W
PWY-5026	indole-3-acetate biosynthesis V (bacteria and fungi)	YLR351C // YIL164C // YJL126W	YLR351C // YIL164C // YJL126W
PWY-6124	inosine-5'-phosphate biosynthesis II	YOR128C // YAR015W // YLR359W // YMR120C // YLR028C	YOR128C // YAR015W // YLR359W // YMR120C // YLR028C
PWY-6369	inositol diphosphates biosynthesis	YDR315C // G3O-37 // G3O-32	YDR315C // YLR410W // YDR017C
PWY3O-402	inositol phosphate biosynthesis	YPL268W // YDR315C // G3O-24 // G3O-37 // G3O-32	YPL268W // YDR315C // YDR173C // YLR410W // YDR017C
PWY-7250	iron-sulfur cluster biosynthesis	G3O-33724 // G3O-34034 // G3O-29519 // G3O-30538 // G3O-30385 // G3O-29283 // G3O-32438	YOR226C // YPL135W // YDL120W // YGL018C // YER048W-A // YCL017C // YLR369W
PWY-5078	isoleucine degradation II	YJR148W // YHR208W // YGR087C // YLR134W // YLR044C // YDR380W // YDL080C // G3O-29918 // YOL086C // YMR303C // YMR083W // YGL256W // YBR145W // YDL168W	YJR148W // YHR208W // YGR087C // YLR134W // YLR044C // YDR380W // YDL080C // YDR368W // YOL086C // YMR303C // YMR083W // YGL256W // YBR145W // YDL168W
ALANINE-SYN2-PWY	L-alanine biosynthesis II	YLR089C // YDR111C	YLR089C // YDR111C
PWY0-1021	L-alanine biosynthesis III	G3O-30385 // G3O-29283	YER048W-A // YCL017C
ASPARAGINE-BIOSYNTHESIS	L-asparagine biosynthesis I	YGR124W // YPR145W	YGR124W // YPR145W
LCYSDEG-PWY	L-cysteine degradation II	YFR055W // YAL012W	YFR055W // YAL012W
GLUTSYNIII-PWY	L-glutamate biosynthesis III	YAL062W // YOR375C	YAL062W // YOR375C
GLUGLNSYN-PWY	L-glutamate biosynthesis IV	YDL171C	YDL171C
PWY0-1305	L-glutamate degradation to 4-aminobutanoate	YMR250W	YMR250W
GLNSYN-PWY	L-glutamine biosynthesis I	YPR035W	YPR035W
HISTSYN-PWY	L-histidine biosynthesis	YFR025C // YIL116W // YOR202W // YBR248C // YIL020C // YCL030C // YER055C	YFR025C // YIL116W // YOR202W // YBR248C // YIL020C // YCL030C // YER055C
PWY-5344	L-homocysteine biosynthesis	YLR303W // YNL277W	YLR303W // YNL277W
HOMOSERSYN-PWY	L-homoserine biosynthesis	YER052C // YDR158W // YJR139C	YER052C // YDR158W // YJR139C
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	YJR016C // YJR148W // YHR208W // YLR355C // YCL009C // YMR108W // YER086W // YCL064C	YJR016C // YJR148W // YHR208W // YLR355C // YCL009C // YMR108W // YER086W // YCL064C
LEUSYN-PWY	L-leucine biosynthesis	YCL018W // YJR148W // YHR208W // YNL104C // YOR108W // YGL009C	YCL018W // YJR148W // YHR208W // YNL104C // YOR108W // YGL009C
LYSINE-AMINOAD-PWY	L-lysine biosynthesis IV	YIR034C // YDL182W // YDL131W // YNR050C // YGL202W // G3O-30313 // YDR234W // YIL094C // YBR115C	YIR034C // YDL182W // YDL131W // YNR050C // YGL202W // YER152C // YDR234W // YIL094C // YBR115C
LYSDEGII-PWY	L-lysine degradation III		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).
PWY-7686	L-malate degradation II	YKL029C	YKL029C
HSERMETANA-PWY	L-methionine biosynthesis III	YER091C // YLR303W // YNL277W	YER091C // YLR303W // YNL277W
METHIONINE-DEG1-PWY	L-methionine degradation I (to L-homocysteine)	YDR502C // YLR180W // YER043C	YDR502C // YLR180W // YER043C
PWY-5082	L-methionine degradation III	YDR380W // YMR083W // YOL086C // YBR145W // YMR303C // YDL168W // YGL256W // YLR027C // YHR137W // YGL202W	YDR380W // YMR083W // YOL086C // YBR145W // YMR303C // YDL168W // YGL256W // YLR027C // YHR137W // YGL202W
PHESYN	L-phenylalanine biosynthesis I	YNL316C // YPR060C // YGL202W	YNL316C // YPR060C // YGL202W
