"","PDB_ID","protein1_name","protein2_name","protein1_synonyms","protein2_synonyms","species1_name","species2_name","species1_TaxID","species2_TaxID","Type","Value","Unit"
"15","1gua","RAP1A","C-RAF1","NA","NA","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",4e-08,"M"
"16","1gxd","72 KDA TYPE IV COLLAGENASE","METALLOPROTEINASE INHIBITOR 2","GELATINASE A,72 KDA GELATINASE,MATRIX METALLOPROTEINASE-2,","TISSUE INHIBITOR OF METALLOPROTEINASES-2,TIMP-2","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",5.2e-09,"M"
"17","1h59","INSULIN-LIKE GROWTH FACTOR IA","INSULIN-LIKE GROWTH FACTOR BINDING PROTEIN 5","IGF-I,IGF-IA,SOMATOMEDIN C","IGFBP-5,IBP-5,IGF-BINDING PROTEIN 5","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",3.7e-08,"M"
"18","1he8","PHOSPHATIDYLINOSITOL 3-KINASE CATALYTIC SUBUNIT","TRANSFORMING PROTEIN P21","PI3-KINASE P110 SUBUNIT GAMMA,PTDINS-3-KINASE P110,PI3K","C-H-RAS,H-RAS","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",2.5e-06,"M"
"19","1i4d","ARFAPTIN 2","RAS-RELATED C3 BOTULINUM TOXIN SUBSTRATE 1","PARTNER OF RAC1","P21-RAC1","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",3e-06,"M"
"20","1i8l","T LYMPHOCYTE ACTIVATION ANTIGEN CD80","CYTOTOXIC T-LYMPHOCYTE PROTEIN 4","ACTIVATION B7-1 ANTIGEN,CTLA-4 COUNTER-RECEPTOR B7","CTLA-4,CYTOTOXIC T-LYMPHOCYTE-ASSOCIATED ANTIGEN 4","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",2e-07,"M"
"21","1j7d","MMS2","UBIQUITIN-CONJUGATING ENZYME E2-17 KDA","NA","UBC13","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",2e-06,"M"
"22","1jgn","POLYADENYLATE-BINDING PROTEIN 1","POLYADENYLATE-BINDING PROTEIN-INTERACTING","PABP1","PAIP2","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",3.5e-07,"M"
"23","1jh4","POLYADENYLATE-BINDING PROTEIN 1","POLYADENYLATE-BINDING PROTEIN-INTERACTING","PABP1","PAIP1","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.5e-06,"M"
"24","1jwh","CASEIN KINASE II","CASEIN KINASE II BETA CHAIN","CK II,CATALYTIC SUBUNIT","CK II,REGULATORY SUBUNIT","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.26e-08,"M"
"25","1ktz","TRANSFORMING GROWTH FACTOR BETA 3","TGF-BETA TYPE II RECEPTOR","TGF-BETA3","TBR-2","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",2.9e-07,"M"
"26","1m10","VON WILLEBRAND FACTOR","GLYCOPROTEIN IB ALPHA","NA","PLATELET GLYCOPROTEIN IB ALPHA CHAIN","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",5.8e-09,"M"
"27","1mq8","INTERCELLULAR ADHESION MOLECULE-1","INTEGRIN ALPHA-L","ICAM-1","LEUKOCYTE ADHESION GLYCOPROTEIN LFA-1 ALPHA CHAIN","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",3e-06,"M"
"28","1nvu","TRANSFORMING PROTEIN P21","SON OF SEVENLESS PROTEIN HOMOLOG 1","C-H-RAS","SOS-1","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",3.6e-06,"M"
"29","1oc0","PLASMINOGEN ACTIVATOR INHIBITOR-1","VITRONECTIN","ENDOTHELIAL PLASMINOGEN ACTIVATOR INHIBITOR,","SERUM SPREADING FACTOR,S-PROTEIN,S75","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1e-09,"M"
"30","1oey","NEUTROPHIL CYTOSOL FACTOR 2","NEUTROPHIL CYTOSOL FACTOR 4","P67-PHOX","P40-PHOX","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",4e-09,"M"
"31","1oqe","TUMOR NECROSIS FACTOR LIGAND SUPERFAMILY MEMBER 13B","TUMOR NECROSIS FACTOR RECEPTOR SUPERFAMILY MEMBER 13C","TNF-AND APOL- RELATED LEUKOCYTE EXPRESSED LIGAND 1,TALL-1,","B CELL-ACTIVATING FACTOR RECEPTOR,BAFF RECEPTOR,BAFF-R,","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.09e-07,"M"
"32","1otr","PROTEIN CUE2","UBIQUITIN","HYPOTHETICAL 50","NA","SACCHAROMYCES CEREVISIAE","SACCHAROMYCES CEREVISIAE","4932","4932","Kd",0.000155,"M"
"33","1oyh","ANTITHROMBIN-III","ANTITHROMBIN-III","ATIII","ATIII","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",4.2e-08,"M"
"34","1ozs","TROPONIN C","TROPONIN I","TN-C","CIP","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",3.1e-05,"M"
"35","1p9d","26S PROTEASOME NON-ATPASE REGULATORY SUBUNIT 4","UV EXCISION REPAIR PROTEIN RAD23 HOMOLOG A","26S PROTEASOME REGULATORY SUBUNIT S5A,RPN10,","HHR23A","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.29e-05,"M"
"36","1pvh","INTERLEUKIN-6 RECEPTOR BETA CHAIN","LEUKEMIA INHIBITORY FACTOR","IL-6R-BETA,INTERLEUKIN 6 SIGNAL TRANSDUCER,","LIF,DIFFERENTIATION-STIMULATING FACTOR,D FACTOR,","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",8e-08,"M"
"37","1q68","T-CELL SURFACE GLYCOPROTEIN CD4","PROTO-ONCOGENE TYROSINE-PROTEIN KINASE LCK","T-CELL SURFACE ANTIGEN T4","P56-LCK,LSK,T CELL-SPECIFIC PROTEIN-TYROSINE","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",4e-07,"M"
"38","1q69","T-CELL SURFACE GLYCOPROTEIN CD8 ALPHA CHAIN","PROTO-ONCOGENE TYROSINE-PROTEIN KINASE LCK","T-LYMPHOCYTE DIFFERENTIATION ANTIGEN T8","P56-LCK,LSK,T CELL-SPECIFIC PROTEIN-TYROSINE","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",9e-07,"M"
"39","1qa9","HUMAN CD2 PROTEIN","HUMAN CD58 PROTEIN","NA","NA","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1e-06,"M"
"40","1rke","VINCULIN","VCL PROTEIN","NA","NA","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",5e-08,"M"
"41","1ry7","HEPARIN-BINDING GROWTH FACTOR 1","FIBROBLAST GROWTH FACTOR RECEPTOR 3","HBGF-1","FGFR-3","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",2.3e-07,"M"
"42","1s1q","TUMOR SUSCEPTIBILITY GENE 101 PROTEIN","UBIQUITIN","TSG101(UEV)","UBIQUITIN AND RIBOSOMAL PROTEIN S27A PRECURSOR","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",5e-04,"M"
"43","1shy","HEPATOCYTE GROWTH FACTOR","HEPATOCYTE GROWTH FACTOR RECEPTOR","SCATTER FACTOR,SF,HEPATOPOEITIN A","MET PROTO-ONCOGENE TYROSINE KINASE,C-MET,HGF RECEPTOR,","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",9e-08,"M"
"44","1sq0","VON WILLEBRAND FACTOR (VWF) ","PLATELET GLYCOPROTEIN IB ALPHA CHAIN","NA","NA","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",3e-08,"M"
"45","1t0p","INTEGRIN ALPHA-L","INTERCELLULAR ADHESION MOLECULE-3","CELL SURFACE GLYCOPROTEIN CD11A","ICAM-3","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",2.5e-05,"M"
"46","1t5z","ANDROGEN RECEPTOR","NUCLEAR RECEPTOR COACTIVATOR 4","DIHYDROTESTOSTERONE RECEPTOR","NCOA-4,70 KDA ANDROGEN RECEPTOR COACTIVATOR,70","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",3.3e-05,"M"
"47","1t63","ANDROGEN RECEPTOR","NUCLEAR RECEPTOR COACTIVATOR 2","DIHYDROTESTOSTERONE RECEPTOR","NCOA-2,TRANSCRIPTIONAL INTERMEDIARY FACTOR 2","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.5e-05,"M"
"48","1th1","BETA-CATENIN","ADENOMATOUS POLYPOSIS COLI PROTEIN","PRO2286","APC PROTEIN","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",2.1e-09,"M"
"49","1u7f","MOTHERS AGAINST DECAPENTAPLEGIC HOMOLOG 3","MOTHERS AGAINST DECAPENTAPLEGIC HOMOLOG 4","SMAD 3,MOTHERS AGAINST DPP HOMOLOG 3,MAD3,HMAD-","SMAD 4,MOTHERS AGAINST DPP HOMOLOG 4,DELETION","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",5.8e-08,"M"
"50","1u7v","MOTHERS AGAINST DECAPENTAPLEGIC HOMOLOG 2","MOTHERS AGAINST DECAPENTAPLEGIC HOMOLOG 4","SMAD 2,MOTHERS AGAINST DPP HOMOLOG 2,MAD-","SMAD 4,MOTHERS AGAINST DPP HOMOLOG 4,DELETION","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",2.96e-07,"M"
"51","1uel","UV EXCISION REPAIR PROTEIN RAD23 HOMOLOG B","26S PROTEASOME NON-ATPASE REGULATORY SUBUNIT 4","HHR23B","S5A,26S PROTEASOME REGULATORY SUBUNIT S5A","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",3.4e-06,"M"
"52","1ul1","FLAP ENDONUCLEASE-1","PROLIFERATING CELL NUCLEAR ANTIGEN","MATURATION FACTOR 1,MF1","PCNA,CYCLIN","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",6e-08,"M"
"53","1usu","HEAT SHOCK PROTEIN HSP82","AHA1","NA","NA","SACCHAROMYCES CEREVISIAE","SACCHAROMYCES CEREVISIAE","4932","4932","Kd",3.3e-06,"M"
"54","1usv","HEAT SHOCK PROTEIN HSP82","AHA1","NA","NA","SACCHAROMYCES CEREVISIAE","SACCHAROMYCES CEREVISIAE","4932","4932","Kd",3.3e-06,"M"
"55","1w1w","STRUCTURAL MAINTENANCE OF CHROMOSOME 1","SISTER CHROMATID COHESION PROTEIN 1","SMC1,DA-BOX PROTEIN SMC1","SCC1","SACCHAROMYCES CEREVISIAE","SACCHAROMYCES CEREVISIAE","4932","4932","Kd",0.00026,"M"
"56","1wlp","CYTOCHROME B-245 LIGHT CHAIN","NEUTROPHIL CYTOSOL FACTOR 1","FLAVOCYTOCHROME B558,P22PHOX","P47PHOX","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",6.4e-07,"M"
"57","1wq1","H-RAS","P120GAP","P21RAS,RAS,HARVEY-RAS","GAP-334,GAPETTE","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.7e-05,"M"
"58","1wqj","INSULIN-LIKE GROWTH FACTOR BINDING PROTEIN 4","INSULIN-LIKE GROWTH FACTOR IB","IGFBP-4,IBP- 4,IGF-BINDING PROTEIN 4","IGF-I,IGF-IB,SOMATOMEDIN C","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",8.65e-07,"M"
"59","1wr1","UBIQUITIN","UBIQUITIN-LIKE PROTEIN DSK2","NA","NA","SACCHAROMYCES CEREVISIAE","SACCHAROMYCES CEREVISIAE","4932","4932","Kd",1.48e-05,"M"
"60","1xd3","UBIQUITIN CARBOXYL-TERMINAL ESTERASE L3","UBC PROTEIN","UCH-L3,UBIQUITIN THIOLESTERASE,UBIQUITIN C-","UBIQUITIN FUSED TO VINYL METHYLESTER,UBVME","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",3e-07,"M"
"61","1xqs","HSPBP1 PROTEIN","HEAT SHOCK 70 KDA PROTEIN 1","NA","HSP70,HSP70","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",6.5e-06,"M"
"62","1xt9","SENTRIN-SPECIFIC PROTEASE 8","NEDDYLIN","SENTRIN","UBIQUITIN-LIKE PROTEIN NEDD8","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",2e-07,"M"
"63","1y6k","INTERLEUKIN-10","INTERLEUKIN-10 RECEPTOR ALPHA CHAIN","IL-10,CYTOKINE SYNTHESIS INHIBITORY FACTOR,CSIF","IL-10R-A,IL-10R1","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1e-09,"M"
"64","1y8n",NA,"DIHYDROLIPOYLLYSINE-RESIDUE ACETYLTRANSFERASE COMPONENT OF","PYRUVATE DEHYDROGENASE KINASE ISOFORM 3","E2,DIHYDROLIPOAMIDE ACETYLTRANSFERASE COMPONENT OF PYRUVATE","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.17e-06,"M"
"65","1ycs","P53","53BP2","NA","P53BP2","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",3e-08,"M"
"66","1ydi","VINCULIN ISOFORM VCL","ALPHA-ACTININ 4","NA","NON-MUSCLE ALPHA-ACTININ 4,F-ACTIN CROSS LINKING","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.78e-09,"M"
"67","1yx5","26S PROTEASOME NON-ATPASE REGULATORY SUBUNIT 4","UBIQUITIN","26S PROTEASOME REGULATORY SUBUNIT S5A,RPN10,","NA","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",0.00035,"M"
"68","1yx6","26S PROTEASOME NON-ATPASE REGULATORY SUBUNIT 4","UBIQUITIN","26S PROTEASOME REGULATORY SUBUNIT S5A,RPN10,","NA","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",7.3e-05,"M"
"69","1z0k","GTP-BINDING PROTEIN","FYVE-FINGER-CONTAINING RAB5 EFFECTOR PROTEIN","NA","NA","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",7.7e-06,"M"
"70","1z92","INTERLEUKIN-2","INTERLEUKIN-2 RECEPTOR ALPHA CHAIN","IL-2,T-CELL GROWTH FACTOR,TCGF,ALDESLEUKIN","IL-2 RECEPTOR ALPHA SUBUNIT,P55,TAC ANTIGEN,","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1e-08,"M"
"71","1zgu","UBIQUITIN-CONJUGATING ENZYME E2 VARIANT 2","UBIQUITIN","MMS2,ENTEROCYTE DIFFERENTIATION ASSOCIATED","NA","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",9.8e-05,"M"
"72","1zhi","ORIGIN RECOGNITION COMPLEX SUBUNIT 1","REGULATORY PROTEIN SIR1","ORIGIN RECOGNITION COMPLEX PROTEIN 120 KDA SUBUNIT","SILENT INFORMATION REGULATOR 1","SACCHAROMYCES CEREVISIAE","SACCHAROMYCES CEREVISIAE","4932","4932","Kd",2e-07,"M"
"73","2a24","ENDOTHELIAL PAS DOMAIN PROTEIN 1","ARYL HYDROCARBON RECEPTOR NUCLEAR TRANSLOCATOR","EPAS-1,MEMBER OF PAS PROTEIN 2,MOP2,HYPOXIA-","ARNT PROTEIN,DIOXIN RECEPTOR,NUCLEAR","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",3e-05,"M"
"74","2aw2","B AND T LYMPHOCYTE ATTENUATOR","TUMOR NECROSIS FACTOR RECEPTOR SUPERFAMILY MEMBER 14","B AND T LYMPHOCYTE-ASSOCIATED PROTEIN","HERPESVIRUS ENTRY MEDIATOR A,TUMOR NECROSIS FACTOR","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",2.5e-08,"M"
"75","2b0z","CYTOCHROME C PEROXIDASE","CYTOCHROME C ISO-1","CCP","NA","SACCHAROMYCES CEREVISIAE","SACCHAROMYCES CEREVISIAE","4932","4932","Kd",1e-04,"M"
"76","2b10","CYTOCHROME C PEROXIDASE","CYTOCHROME C ISO-1","CCP","NA","SACCHAROMYCES CEREVISIAE","SACCHAROMYCES CEREVISIAE","4932","4932","Kd",1e-05,"M"
"77","2b11","CYTOCHROME C PEROXIDASE","CYTOCHROME C ISO-1","CCP","NA","SACCHAROMYCES CEREVISIAE","SACCHAROMYCES CEREVISIAE","4932","4932","Kd",5e-06,"M"
"78","2b12","CYTOCHROME C PEROXIDASE","CYTOCHROME C ISO-1","CCP","NA","SACCHAROMYCES CEREVISIAE","SACCHAROMYCES CEREVISIAE","4932","4932","Kd",2e-05,"M"
"79","2b7c","ELONGATION FACTOR 1-ALPHA","ELONGATION FACTOR-1 BETA","EF-1-ALPHA,TRANSLATION ELONGATION FACTOR 1A,","EF-1-BETA,TRANSLATION ELONGATION FACTOR 1B ALPHA,","SACCHAROMYCES CEREVISIAE","SACCHAROMYCES CEREVISIAE","4932","4932","Kd",4e-07,"M"
"80","2be6","CALMODULIN 2","VOLTAGE-DEPENDENT L-TYPE CALCIUM CHANNEL ALPHA-1C SUBUNIT","NA","VOLTAGE-GATED CALCIUM CHANNEL ALPHA SUBUNIT CAV1","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",2.63e-09,"M"
"81","2bqz","SET8 PROTEIN","HISTONE H4","HISTONE-LYSINE METHYLTRANSFERASE PR-SET7","NA","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",2e-05,"M"
"82","2bwe","DSK2","DSK2","NA","NA","SACCHAROMYCES CEREVISIAE","SACCHAROMYCES CEREVISIAE","4932","4932","Kd",8e-05,"M"
"83","2c0l","PEROXISOMAL TARGETING SIGNAL 1 RECEPTOR","NONSPECIFIC LIPID-TRANSFER PROTEIN","PEX5P,PEROXISMORE RECEPTOR 1,PEROXIN-5,PEROXISOMAL C-","MSCP2,STEROL CARRIER PROTEIN 2,NSL-TP,SCP-2B,SCP-2,","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.09e-07,"M"
"84","2c1t","IMPORTIN ALPHA SUBUNIT","NUCLEOPORIN NUP2","KAP60P,KARYOPHERIN ALPHA SUBUNIT,SERINE-RICH","NUP2P,NUCLEAR PORE PROTEIN NUP2,P95","SACCHAROMYCES CEREVISIAE","SACCHAROMYCES CEREVISIAE","4932","4932","Kd",2e-09,"M"
"85","2c5d","GROWTH-ARREST-SPECIFIC PROTEIN 6 PRECURSOR","TYROSINE-PROTEIN KINASE RECEPTOR UFO","GAS-6","AXL ONCOGENE","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",6e-09,"M"
"86","2djy","SMAD UBIQUITINATION REGULATORY FACTOR 2","MOTHERS AGAINST DECAPENTAPLEGIC HOMOLOG 7","UBIQUITIN--PROTEIN LIGASE SMURF2,SMAD-SPECIFIC","SMAD 7,MOTHERS AGAINST DPP HOMOLOG 7,SMAD7,","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",4e-05,"M"
"87","2dsp","INSULIN-LIKE GROWTH FACTOR-BINDING PROTEIN 4","INSULIN-LIKE GROWTH FACTOR IB","IGFBP-4,IBP-4,IGF-BINDING PROTEIN 4","IGF-IB,SOMATOMEDIN C,MECHANO GROWTH FACTOR,MGF","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",3e-06,"M"
"88","2fdb","FIBROBLAST GROWTH FACTOR 8 ISOFORM B","FIBROBLAST GROWTH FACTOR RECEPTOR 2","FGF8B","FGFR2C","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.55e-07,"M"
"89","2fju","RAS-RELATED C3 BOTULINUM TOXIN SUBSTRATE 1","1-PHOSPHATIDYLINOSITOL-4","P21-RAC1","PHOSPHOINOSITIDE PHOSPHOLIPASE C","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",5.3e-06,"M"
"90","2fyl","ALPHA-2-MACROGLOBULIN RECEPTOR-ASSOCIATED","LOW-DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN","ALPHA-2- MRAP,LOW DENSITY LIPOPROTEIN RECEPTOR-","LRP,ALPHA-2-MACROGLOBULIN RECEPTOR","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",2.8e-06,"M"
"91","2g45","UBIQUITIN CARBOXYL-TERMINAL HYDROLASE 5","UBIQUITIN","UBIQUITIN THIOLESTERASE 5,UBIQUITIN-SPECIFIC","NA","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",2.82e-06,"M"
"92","2gh0","ARTEMIN","GDNF FAMILY RECEPTOR ALPHA-3","NA","GFR-ALPHA-3","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",9e-08,"M"
"93","2h4m","TRANSPORTIN-1","HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN A1","IMPORTIN BETA-2,KARYOPHERIN BETA-2,M9 REGION INTERACTION","HNRNP A1,HELIX-DESTABILIZING PROTEIN,SINGLE-STRAND RNA-","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",4.2e-08,"M"
"94","2hle","EPHRIN TYPE-B RECEPTOR 4","EPHRIN-B2","TYROSINE-PROTEIN KINASE RECEPTOR HTK,EPHB4","EPH-RELATED RECEPTOR TYROSINE KINASE LIGAND 5,LERK-5,HTK","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",4e-08,"M"
"95","2hrk","GLUTAMYL-TRNA SYNTHETASE","GU4 NUCLEIC-BINDING PROTEIN 1","GLUTAMATE-TRNA LIGASE,GLURS,P85","G4P1 PROTEIN,P42,ARC1 PROTEIN","SACCHAROMYCES CEREVISIAE","SACCHAROMYCES CEREVISIAE","4932","4932","Kd",9e-09,"M"
"96","2hth","UBIQUITIN","VACUOLAR PROTEIN SORTING PROTEIN 36","NA","ELL-ASSOCIATED PROTEIN OF 45 KDA","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",0.000105,"M"
"97","2i32","ANTI-SILENCING FACTOR 1 PARALOG A","HISTONE REGULATORY HOMOLOG A","ASF1A PROTEIN,ASF1 ANTI-SILENCING FUNCTION 1 HOMOLOG A,","HIRA PROTEIN,TUP1-LIKE ENHANCER OF SPLIT PROTEIN 1","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.3e-06,"M"
"98","2i3s","CELL CYCLE ARREST PROTEIN","CHECKPOINT SERINE","NA","BUB1 GLEBS MOTIF","SACCHAROMYCES CEREVISIAE","SACCHAROMYCES CEREVISIAE","4932","4932","Kd",3.6e-06,"M"
"99","2i3t","CELL CYCLE ARREST PROTEIN","SPINDLE ASSEMBLY CHECKPOINT COMPONENT","NA","MITOTIC MAD3 PROTEIN","SACCHAROMYCES CEREVISIAE","SACCHAROMYCES CEREVISIAE","4932","4932","Kd",2.7e-06,"M"
"100","2iwg","IG GAMMA-1 CHAIN C","52 KDA RO PROTEIN","LJ1","LJ1,SJOEGREN SYNDROME TYPE A ANTIGEN,SS-A,RO,52 KDA","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",3.7e-08,"M"
"101","2iy1","SENTRIN-SPECIFIC PROTEASE 1","SMALL UBIQUITIN-RELATED MODIFIER 1","SENP1,SENTRIN","SUMO-1,UBIQUITIN-LIKE PROTEIN SMT3C,SMT3 HOMOLOG 3,","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",7.87e-07,"M"
"102","2iyb","PROTEIN ENABLED HOMOLOG","TESTIN","MENA","TESS,TES","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",3.6e-06,"M"
"103","2jgz","CELL DIVISION PROTEIN KINASE 2","G2","P33 PROTEIN KINASE","CYCLIN B1","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",0.001,"M"
